customer_unique_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_code
942c87794610b49b670506def94b8f17,25,1,6.00,1,1,1,111
0d1fe68a782a79b009092e1e043e426c,25,1,6.00,1,1,1,111
64dbbc66e67cd6b74a7b55c2d34adc6b,25,1,6.00,1,1,1,111
f8414aab3af31faec50b0193f1400090,25,1,6.00,1,1,1,111
f752f33eda408dadfd3d2b3041cf2815,25,1,6.00,1,1,1,111
ea2542ee4bd82e2f5599454821c9818c,24,1,6.00,1,1,1,111
9c2585f927eee84bd3856201a2a1bc96,24,1,6.00,1,1,1,111
a4837630a9600d93cbd3b310854b8b00,24,1,6.00,1,1,1,111
92eb9f69fe77f42bf7a648c21fa2cc76,24,1,6.00,1,1,1,111
af5990af08c5ded79398a493a3be1842,24,1,6.00,1,1,1,111
4f1dced97eedcc55e4966d0b746c2f4a,24,1,6.00,1,1,1,111
cda5477430c1c4b19bc0fd8f55b866c0,24,1,6.00,1,1,1,111
bfee7b14fc53e8a472abe7709ba654d5,24,1,6.00,1,1,1,111
1d18594dcb30012bc307435361aaea4b,24,1,6.00,1,1,1,111
19f19354cf9524cc834a5036ff79925c,90,2,6.00,1,1,1,111
7ffa2a1b57b9933dcddfb3684fad51bf,67,1,6.00,1,1,1,111
4883109917dd4bf33d4d029dab65ad2b,67,1,6.00,1,1,1,111
3b78563d931271fd2d6be87b30c3e7aa,67,1,6.00,1,1,1,111
eef583527165bea0e274535b402d0e86,67,1,6.00,1,1,1,111
2c70b5a29ca88d9082063ab6ee3ead17,67,1,6.00,1,1,1,111
